scores
43
52
58
42
42
62
43
43
42
43
42
55
61
55
42
52
43
42
42
61
51
42
42
42
42
68
53
43
42
42
42
43
52
42
51
42
43
42
42
65
43
42
44
42
51
62
42
42
53
43
69
55
54
49
42
50
42
42
43
61
53
51
42
43
42
51
53
43
63
64
66
55
65
53
53
43
43
43
51
76
42
42
42
63
42
43
52
42
64
51
44
42
42
53
59
43
43
42
43
42
67
53
59
65
53
73
51
42
43
59
42
42
59
61
65
70
77
72
43
70
44
66
42
51
77
63
51
69
43
42
52
44
42
42
53
58
51
52
42
69
52
51
70
58
43
43
67
73
74
166
68
51
51
60
66
66
44
52
75
57
42
42
43
42
42
72
42
43
67
43
51
68
73
63
51
43
42
66
58
42
50
68
73
52
44
42
55
78
43
58
51
42
42
53
42
43
59
42
42
42
43
51
42
58
86
51
67
43
94
63
66
53
59
43
65
100
42
84
42
62
42
68
43
42
93
43
63
52
51
42
57
43
78
59
91
53
100
42
102
60
59
70
126
57
113
67
94
107
50
53
42
67
43
83
43
53
42
43
63
100
65
79
128
67
43
43
42
42
43
68
52
60
42
54
52
43
52
43
78
51
50
93
51
53
93
43
43
53
74
162
60
100
42
114
51
59
52
78
53
43
117
52
92
97
78
128
97
71
136
66
43
78
42
42
43
42
59
42
59
56
59
90
42
50
43
42
51
129
66
52
43
60
94
65
51
53
59
52
42
151
42
104
108
172
50
52
66
71
205
61
50
69
42
100
88
51
42
43
75
154
59
95
100
118
42
91
73
178
100
139
157
74
79
57
96
80
51
76
58
64
42
43
67
130
125
42
99
170
73
53
43
42
43
51
42
82
92
50
125
51
51
104
115
58
69
42
67
58
58
43
58
53
52
64
76
72
50
74
88
68
98
42
126
71
42
70
102
138
60
69
59
62
61
110
60
87
50
95
51
52
113
64
106
80
78
63
51
51
52
63
73
43
238
42
77
44
76
42
42
88
228
71
102
78
100
181
43
295
92
93
43
43
73
43
56
97
42
52
100
92
85
109
301
68
52
68
51
263
66
126
65
339
61
207
152
146
64
154
44
71
62
58
198
88
113
42
93
356
119
138
144
299
81
79
142
57
51
58
186
134
100
182
106
52
198
761
82
100
100
466
221
53
101
103
88
190
109
228
104
60
394
181
61
122
51
91
52
529
90
144
75
173
174
80
69
147
102
42
85
42
166
110
74
200
159
75
98
66
286
84
185
112
69
83
70
310
138
104
107
448
200
438
73
123
194
42
382
94
53
42
78
339
100
72
470
53
272
100
137
44
79
59
77
149
157
264
303
43
149
286
100
58
53
43
388
249
289
199
51
51
42
216
120
414
226
294
161
318
51
60
417
62
272
50
69
42
72
63
226
242
278
204
574
200
155
118
59
259
126
248
285
614
232
125
106
182
77
94
251
143
43
99
184
53
132
43
726
145
61
152
258
125
155
59
100
53
42
243
701
193
90
132
232
68
222
836
121
72
368
401
51
165
59
647
714
579
473
157
622
437
179
64
395
124
202
296
355
896
73
300
52
772
176
531
896
134
138
462
200
63
74
165
362
95
53
398
89
198
197
438
288
446
120
83
175
233
348
838
534
459
766
260
804
280
719
52
82
350
756
54
503
42
573
213
110
761
798
146
222
83
52
145
434
44
202
359
866
139
829
80
444
104
300
74
119
218
58
567
113
42
287
572
154
102
786
1062
100
199
600
146
229
88
126
649
55
650
419
42
50
197
237
42
132
186
160
50
61
592
216
64
119
114
289
398
